Name of the company,Average employee rating (out of 5) based on reviews,Total number of employee reviews,Critical Rated for,Number of salary entries submitted by employees,Count of interview experiences shared,Active job listings on AmbitionBox,"Number of benefit reviews (insurance, WFH, leaves, etc.)",Number of company photos uploaded by employees
Bosch Global Software Technologies,3.7,5.5k,"Work Life Balance, Company Culture, Job Security",39.6k,381,7,625,21
PolicyBazaar,3.7,5.5k,Salary & Benefits,16.9k,586,439,231,14
UST,3.7,5.5k,Work Life Balance,39.1k,575,122,407,16
Ashok Leyland,4.0,5.4k,"Work Life Balance, Skill Development / Learning, Company Culture",18.6k,311,--,642,15
Citicorp,3.7,5.4k,Salary & Benefits,51.6k,614,--,517,6
Swiggy,3.7,5.4k,"Job Security, Promotions / Appraisal, Work Satisfaction",22.9k,547,260,342,18
Hero MotoCorp,4.1,5.3k,"Company Culture, Work Life Balance, Work Satisfaction",15.7k,399,2,584,9
Cyient,3.6,5.3k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",27.4k,324,77,466,3
SBI Cards & Payment Services,3.7,5.1k,"Promotions / Appraisal, Work Satisfaction, Company Culture",15.9k,294,79,344,13
Kalpataru Projects International,4.1,5.1k,"Job Security, Skill Development / Learning, Salary & Benefits",13.7k,314,--,203,21
JustDial,3.5,5.1k,"Promotions / Appraisal, Work Satisfaction, Job Security",15.3k,383,61,372,9
BNY,3.7,5.1k,Work Life Balance,30.7k,387,1,527,1
IQVIA,3.7,5k,"Promotions / Appraisal, Salary & Benefits",30.6k,535,10,524,10
SBI Life Insurance Company,3.7,5k,Job Security,11.7k,299,5,327,16
CBRE,4.1,5k,"Company Culture, Work Life Balance, Job Security",18.5k,336,22,443,18
TVS Motor,3.9,5k,"Job Security, Skill Development / Learning, Salary & Benefits",15.7k,384,75,536,12
NTT Data,3.8,5k,Work Life Balance,35.6k,726,116,156,7
Nagarjuna Construction Company,4.0,5k,"Job Security, Company Culture, Work Life Balance",12k,419,7,408,11
Schneider Electric,4.1,5k,"Company Culture, Work Life Balance, Job Security",24.2k,443,25,463,13
Persistent Systems,3.6,4.9k,"Promotions / Appraisal, Job Security, Work Satisfaction",44.2k,698,312,369,33
vivo,4.1,4.9k,"Skill Development / Learning, Company Culture, Work Life Balance",13.1k,229,5,643,3
State Bank of India,3.8,4.9k,"Job Security, Salary & Benefits",11.6k,301,8,400,5
Atos,3.8,4.8k,Work Life Balance,34k,403,103,454,10
Ecom Express,4.0,4.8k,"Company Culture, Work Life Balance, Work Satisfaction",9.4k,257,--,323,35
Eviden,3.6,4.8k,Work Life Balance,28.1k,316,7,1,11
KEC International,4.0,4.8k,"Job Security, Salary & Benefits, Company Culture",13.3k,404,4,441,52
Amdocs,3.6,4.7k,"Promotions / Appraisal, Work Satisfaction, Job Security",37.3k,558,9,614,20
Nagarro,3.9,4.7k,"Company Culture, Work Life Balance",31.8k,826,361,1.1k,19
JBM Group,3.9,4.7k,"Job Security, Skill Development / Learning",13.9k,335,47,342,21
Varun Beverages,4.0,4.7k,"Job Security, Work Life Balance, Skill Development / Learning",12.2k,330,35,321,28
ITC Infotech,3.7,4.6k,"Work Life Balance, Job Security",29.4k,407,79,281,8
Home Credit Finance,4.0,4.6k,"Work Life Balance, Company Culture, Skill Development / Learning",9.4k,142,92,629,6
Bosch,4.1,4.6k,"Company Culture, Work Life Balance, Skill Development / Learning",20.6k,370,232,599,18
EY Global Delivery Services ( EY GDS),3.5,4.5k,Job Security,48.1k,871,10,146,16
Hewlett Packard Enterprise,4.1,4.5k,"Company Culture, Work Life Balance, Work Satisfaction",27.1k,265,157,546,18
Mahindra Logistics,3.7,4.5k,"Promotions / Appraisal, Salary & Benefits",13k,246,--,445,24
L&T Finance,3.9,4.5k,Salary & Benefits,11.6k,209,--,260,34
Aditya Birla Fashion and Retail,4.1,4.5k,"Job Security, Skill Development / Learning, Company Culture",13k,259,76,391,13
Utkarsh Small Finance Bank,3.6,4.5k,"Promotions / Appraisal, Company Culture, Work Satisfaction",10.8k,288,24,269,43
OPPO,3.9,4.5k,Skill Development / Learning,11.8k,248,8,602,10
Randstad,3.7,4.5k,"Promotions / Appraisal, Job Security, Skill Development / Learning",16.2k,314,8,331,7
Dell,3.8,4.4k,"Work Life Balance, Company Culture",28.6k,421,98,540,25
CARS24,3.4,4.4k,"Job Security, Promotions / Appraisal, Company Culture",15.3k,402,134,410,17
Havells,3.9,4.4k,"Work Life Balance, Salary & Benefits",15.4k,278,29,315,9
R1 RCM,3.8,4.4k,"Company Culture, Job Security",21.1k,352,131,334,23
Intas Pharmaceuticals,4.1,4.4k,"Job Security, Salary & Benefits, Work Life Balance",17.1k,251,48,362,9
Tata AIA Life Insurance,3.9,4.4k,"Job Security, Skill Development / Learning, Salary & Benefits",13.8k,246,652,297,23
Hyundai Motor India Limited,4.1,4.4k,"Job Security, Salary & Benefits, Company Culture",13.7k,313,3,518,24
Deutsche Bank,3.8,4.3k,"Work Life Balance, Job Security, Company Culture",35.8k,415,278,399,79
Hetero,3.9,4.3k,"Job Security, Work Life Balance",15.1k,290,154,332,13
Motilal Oswal Financial Services,3.7,4.3k,Skill Development / Learning,13k,536,54,167,90
Team Lease,3.9,4.2k,Work Life Balance,15.9k,241,--,215,6
Berger Paints,3.7,4.2k,"Promotions / Appraisal, Company Culture, Work Life Balance",10.1k,399,151,273,6
Lenskart,3.3,4.2k,"Promotions / Appraisal, Company Culture, Work Life Balance",13.1k,425,119,199,21
Thermax Limited,4.2,4.1k,"Job Security, Company Culture, Work Life Balance",13.1k,321,86,371,22
Bajaj Auto,3.8,4.1k,Promotions / Appraisal,14.5k,317,--,496,19
Macleods Pharmaceuticals,3.7,4.1k,Job Security,15.6k,258,9,333,3
Aakash Educational Services,3.2,4.1k,"Promotions / Appraisal, Work Life Balance, Job Security",13.6k,361,79,212,23
Kogta Financial India Limited,4.7,4.1k,"Company Culture, Work Life Balance, Work Satisfaction",1.8k,222,126,31,38
Jubilant Foods Works,3.7,4.1k,"Promotions / Appraisal, Work Satisfaction",9.2k,243,185,180,18
LG Electronics,3.9,4.1k,"Job Security, Skill Development / Learning",10.9k,252,--,399,18
VE Commercial Vehicles,3.9,4k,"Job Security, Skill Development / Learning",13.4k,274,6,340,8
Royal Enfield,4.2,4k,"Work Life Balance, Skill Development / Learning, Company Culture",14.7k,194,19,396,38
Jindal Steel Limited,3.9,4k,Skill Development / Learning,15.5k,403,38,328,36
Hindalco Industries,4.2,4k,"Job Security, Work Life Balance, Skill Development / Learning",12.3k,284,8,329,9
John Deere,4.0,4k,"Company Culture, Work Life Balance, Skill Development / Learning",15.2k,264,1,417,11
Tata Communications,3.9,4k,"Work Life Balance, Company Culture, Job Security",23.5k,296,37,426,13
DCB Bank,3.8,4k,Work Life Balance,9.5k,222,14,248,23
HDFC Ergo General Insurance,3.9,4k,"Work Life Balance, Company Culture, Job Security",12k,190,14,273,7
State Street Corporation,3.5,3.9k,"Promotions / Appraisal, Salary & Benefits, Company Culture",31.1k,281,8,261,10
RBL Bank,3.5,3.9k,"Promotions / Appraisal, Work Satisfaction, Company Culture",18.2k,229,51,221,11
Cummins,4.3,3.9k,"Company Culture, Work Life Balance, Work Satisfaction",15.5k,273,9,458,16
Oyo Rooms,3.1,3.9k,"Job Security, Company Culture, Work Life Balance",14.5k,252,123,389,14
Pidilite Industries,4.2,3.8k,"Job Security, Work Life Balance, Company Culture",11.4k,251,--,359,1
Alembic Pharmaceuticals,3.9,3.8k,"Salary & Benefits, Work Life Balance",15.2k,248,47,378,9
Reliance Communications,4.0,3.8k,"Skill Development / Learning, Company Culture, Work Life Balance",9.6k,103,--,375,--
Bank of America,4.1,3.8k,"Job Security, Work Life Balance, Company Culture",28k,284,--,413,--
Carelon Global Solutions,3.9,3.8k,"Company Culture, Work Life Balance, Job Security",26.6k,406,24,7,7
Publicis Sapient,3.4,3.8k,"Promotions / Appraisal, Job Security, Work Satisfaction",30.9k,682,257,391,64
Subros,3.8,3.8k,"Job Security, Skill Development / Learning, Company Culture",12.5k,214,1,379,10
PVR INOX,3.9,3.8k,Promotions / Appraisal,9.4k,207,19,241,4
XpressBees,4.2,3.8k,"Work Life Balance, Company Culture, Work Satisfaction",8k,437,11,176,22
American Express,4.1,3.8k,"Company Culture, Work Life Balance, Job Security",24.6k,418,90,435,10
Viatris,4.1,3.7k,"Salary & Benefits, Job Security, Work Life Balance",14.2k,163,1,500,12
Automatic Data Processing (ADP),3.9,3.7k,"Job Security, Company Culture, Work Life Balance",22k,288,59,457,15
Kyndryl,3.9,3.7k,"Work Life Balance, Company Culture, Skill Development / Learning",25.9k,221,25,163,59
PNB MetLife,3.4,3.7k,"Company Culture, Work Satisfaction, Job Security",7.9k,189,13,215,18
Escorts Kubota Limited,4.1,3.7k,"Work Life Balance, Company Culture, Skill Development / Learning",13.2k,280,2,255,25
Aditya Birla Sun Life Insurance,4.0,3.7k,"Work Life Balance, Company Culture, Job Security",10k,173,--,214,23
Grasim Industries,4.0,3.7k,"Job Security, Skill Development / Learning, Company Culture",12.8k,269,2,267,6
Sodexo,4.0,3.6k,"Work Life Balance, Company Culture, Skill Development / Learning",10k,192,881,361,17
Maersk,4.0,3.7k,"Company Culture, Work Life Balance, Work Satisfaction",18.9k,244,27,420,26
Birlasoft,3.5,3.6k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",29.6k,314,426,235,8
Godrej & Boyce Manufacturing,3.9,3.6k,Job Security,15k,220,55,412,3
Synechron,3.5,3.6k,"Job Security, Promotions / Appraisal, Work Satisfaction",27.9k,401,32,237,10
Glenmark Pharmaceuticals,3.8,3.6k,Promotions / Appraisal,12.2k,178,129,317,1
Cogent E Services,3.2,3.6k,"Company Culture, Work Satisfaction, Promotions / Appraisal",10.3k,291,1,220,13
