Name of the company,Average employee rating (out of 5) based on reviews,Total number of employee reviews,Critical Rated for,Number of salary entries submitted by employees,Count of interview experiences shared,Active job listings on AmbitionBox,"Number of benefit reviews (insurance, WFH, leaves, etc.)",Number of company photos uploaded by employees
GeBBS Healthcare Solutions,3.7,3.2k,Job Security,11.2k,176,53,290,11
Tata Technologies,3.5,3.2k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",22.4k,304,115,308,14
Croma,3.8,3.2k,"Work Life Balance, Job Security, Skill Development / Learning",8.8k,175,18,186,9
Tata AIG,4.0,3.1k,"Job Security, Company Culture, Work Life Balance",11.3k,186,111,245,6
Max Healthcare,3.9,3.1k,"Job Security, Skill Development / Learning, Company Culture",10.2k,182,153,276,26
UPL,4.1,3.1k,"Job Security, Work Life Balance, Skill Development / Learning",11k,214,32,293,2
PepsiCo,4.0,3.1k,"Company Culture, Work Life Balance, Work Satisfaction",13.1k,232,155,244,18
Amazon Transportation Services,4.2,3.1k,"Company Culture, Salary & Benefits, Work Life Balance",8k,250,--,246,20
Titan Company,4.2,3.1k,"Company Culture, Job Security, Work Life Balance",9.5k,194,90,339,15
Dilip Buildcon,3.9,3.1k,Salary & Benefits,8k,177,16,298,25
Bajaj General Insurance Limited,3.8,3.1k,Salary & Benefits,9k,120,35,235,2
Walmart,3.5,3.1k,"Promotions / Appraisal, Work Satisfaction, Job Security",21.9k,434,106,319,12
Mankind Pharma,3.8,3.1k,Salary & Benefits,9.2k,247,6,246,14
Varroc Group,3.6,3.1k,"Promotions / Appraisal, Job Security, Company Culture",9.4k,215,40,230,5
Future Group,4.2,3.1k,"Company Culture, Work Life Balance, Skill Development / Learning",6.8k,82,--,423,3
S&P Global,4.0,3k,"Company Culture, Work Life Balance",20.1k,324,221,212,--
MSN Laboratories,3.6,3k,Job Security,9.4k,166,32,155,7
Jindal Stainless,4.2,3k,"Job Security, Work Life Balance, Skill Development / Learning",11.2k,305,3,186,12
Afcons Infrastructure,4.2,3k,"Job Security, Skill Development / Learning, Salary & Benefits",8.4k,261,32,309,14
Societe Generale Global Solution Centre,3.6,3k,"Work Life Balance, Job Security",22.6k,292,136,293,--
Torrent Pharmaceuticals,4.0,3k,"Job Security, Work Life Balance, Company Culture",10.2k,159,25,310,3
Quest Global,3.5,3k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",20.9k,351,104,190,11
CMS IT Services,3.1,3k,"Promotions / Appraisal, Salary & Benefits, Company Culture",9.4k,154,49,193,7
Niva Bupa Health Insurance Company,4.0,3k,"Work Life Balance, Job Security, Skill Development / Learning",8.2k,304,112,119,5
Square Yards,3.6,2.9k,"Work Satisfaction, Job Security",9.1k,224,61,232,35
ACC,3.9,2.9k,"Promotions / Appraisal, Job Security",9.2k,232,2,270,5
I Process Services,3.8,2.9k,"Company Culture, Work Life Balance",5.3k,129,2,127,2
HDFC Sales,3.9,2.9k,"Skill Development / Learning, Company Culture, Work Life Balance",8.3k,189,7,190,2
IDFC FIRST Bharat,4.2,2.9k,"Salary & Benefits, Company Culture, Work Life Balance",4.9k,142,10,70,2
Zensar Technologies,3.7,2.9k,Work Life Balance,25.7k,273,394,243,24
Shoppers Stop,4.0,2.9k,"Company Culture, Work Life Balance, Job Security",6.9k,137,6,320,9
DS Group,4.1,2.9k,"Work Life Balance, Company Culture, Job Security",6.9k,208,52,207,7
Suzlon Group,4.0,2.9k,"Job Security, Skill Development / Learning, Company Culture",7.7k,161,19,322,5
ESAF Small Finance Bank,3.6,2.9k,"Promotions / Appraisal, Work Satisfaction, Company Culture",7.3k,158,40,104,18
Fujitsu,3.8,2.9k,"Work Life Balance, Company Culture",17.2k,210,150,190,19
Tata Elxsi,3.5,2.9k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",22.4k,336,20,202,8
Eternal Limited,3.6,2.9k,"Job Security, Promotions / Appraisal, Work Life Balance",14.2k,356,8,218,12
Apollo Tyres,4.0,2.8k,"Company Culture, Work Life Balance, Job Security",9.8k,148,--,320,7
Nokia,4.0,2.8k,"Work Life Balance, Company Culture, Work Satisfaction",16.2k,309,274,537,15
VVDN Technologies,3.6,2.8k,"Promotions / Appraisal, Salary & Benefits, Company Culture",13.5k,252,20,127,12
Ola Electric Mobility,3.3,2.8k,"Job Security, Company Culture, Promotions / Appraisal",9.1k,285,--,76,22
Indus Towers,3.6,2.8k,"Promotions / Appraisal, Job Security, Work Life Balance",8.9k,220,20,202,11
Sagility,3.9,2.8k,"Job Security, Company Culture, Work Life Balance",11.2k,231,61,35,84
Yazaki,3.9,2.8k,"Job Security, Skill Development / Learning",8.9k,174,2,253,2
IKS Health,3.5,2.8k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",11.2k,259,31,225,--
UnitedHealth,4.0,2.8k,"Job Security, Work Life Balance, Company Culture",14.6k,84,--,432,--
Bharat Financial Inclusion,3.7,2.8k,Salary & Benefits,5k,114,1,174,22
Fiserv,2.9,2.8k,"Promotions / Appraisal, Company Culture, Work Satisfaction",17.6k,193,1,311,11
Landmark Group,3.8,2.8k,Job Security,9.2k,172,8,267,9
Shree Cement,3.8,2.7k,"Promotions / Appraisal, Job Security",9.7k,201,2,214,15
Britannia,4.0,2.7k,"Job Security, Skill Development / Learning",8.2k,214,2,248,8
SRF,4.1,2.7k,"Job Security, Salary & Benefits, Company Culture",8.8k,208,12,250,5
Blue Dart Express Ltd,3.9,2.7k,"Job Security, Company Culture",6.8k,122,3,233,9
Whitehat jr,3.3,2.7k,"Job Security, Promotions / Appraisal, Company Culture",9.5k,265,--,944,3
Kansai Nerolac Paints,3.8,2.7k,Promotions / Appraisal,7.8k,184,63,189,6
Exide Industries,3.4,2.7k,"Promotions / Appraisal, Company Culture, Work Satisfaction",8.4k,208,53,242,5
Shell,3.9,2.7k,"Work Life Balance, Company Culture, Salary & Benefits",13.7k,228,6,257,8
Flex,3.9,2.7k,"Company Culture, Work Life Balance, Work Satisfaction",15.8k,210,38,439,14
Dalmia Bharat Cement,3.9,2.7k,"Job Security, Salary & Benefits",8.5k,187,2,237,15
Capita,3.5,2.7k,"Promotions / Appraisal, Salary & Benefits, Job Security",12.9k,162,56,330,3
ElasticRun,3.6,2.7k,"Job Security, Promotions / Appraisal, Work Life Balance",6k,271,8,224,45
Micro Labs,3.6,2.7k,Job Security,9.7k,150,12,205,2
Nestlé,3.8,2.6k,Salary & Benefits,9.7k,275,14,319,19
TVS Supply Chain Solutions,3.8,2.6k,"Promotions / Appraisal, Salary & Benefits",8.4k,151,13,190,21
Zepto,3.5,2.6k,"Job Security, Promotions / Appraisal, Company Culture",8.7k,430,36,28,10
KFintech,3.4,2.6k,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",11k,167,5,47,2
KPMG Global Services,3.5,2.6k,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",23.8k,248,3,6,--
G4S,4.0,2.6k,"Work Life Balance, Salary & Benefits, Company Culture",5k,126,527,235,15
ZS,3.1,2.6k,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",19.8k,508,148,261,18
Star Health & Allied Insurance,3.5,2.6k,"Promotions / Appraisal, Company Culture, Work Satisfaction",9.8k,152,29,164,16
Voltas,4.0,2.6k,"Job Security, Work Life Balance, Company Culture",8.5k,173,20,258,1
BlackBuck,3.7,2.6k,"Job Security, Promotions / Appraisal",6.4k,208,16,245,13
Sahrudaya Healthcare (Medicover Hospitals),4.4,2.6k,"Company Culture, Work Life Balance, Work Satisfaction",3.4k,141,31,36,4
Sonalika Tractors,3.6,2.6k,"Company Culture, Promotions / Appraisal, Work Life Balance",8.8k,160,--,173,4
Ajanta Pharma,3.9,2.6k,Job Security,8.8k,156,29,214,10
Blue Star,4.1,2.6k,"Company Culture, Skill Development / Learning, Salary & Benefits",9.6k,193,14,240,18
"Maruti Suzuki India Limited, Hansalpur",4.2,2.6k,"Job Security, Company Culture, Salary & Benefits",7.9k,220,3,186,2
Care Health Insurance,3.5,2.6k,"Promotions / Appraisal, Salary & Benefits, Company Culture",8.5k,153,53,166,2
Domino's Pizza,3.9,2.5k,"Skill Development / Learning, Salary & Benefits",4.1k,115,--,392,14
ACT Fibernet,3.9,2.5k,"Company Culture, Job Security",7.6k,158,111,255,16
GATI-KWE,3.9,2.5k,"Work Life Balance, Skill Development / Learning",4.9k,99,7,289,11
Tata Electronics,3.9,2.5k,Job Security,10.4k,238,26,61,6
Fortis Healthcare,4.0,2.5k,"Job Security, Skill Development / Learning, Company Culture",7.4k,181,771,138,3
NoBroker,3.0,2.5k,"Work Satisfaction, Job Security, Promotions / Appraisal",10.4k,276,344,352,25
Exl India,3.5,2.5k,Job Security,14.7k,123,1,163,1
Gallagher,3.7,2.5k,"Work Life Balance, Company Culture, Job Security",13.8k,262,152,120,1
Bajaj Electricals,3.9,2.5k,"Work Life Balance, Salary & Benefits",7.4k,146,19,289,6
Sterlite Technologies,3.8,2.5k,"Promotions / Appraisal, Job Security",10.1k,180,126,208,10
Movate,3.1,2.5k,"Promotions / Appraisal, Salary & Benefits, Company Culture",14.7k,287,82,2,24
Adani Power,3.7,2.5k,"Promotions / Appraisal, Company Culture",9.3k,296,--,162,9
Sammaan Capital Limited,3.8,2.5k,Work Life Balance,5.9k,111,4,118,2
Foundever,3.4,2.5k,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",8.6k,172,75,199,13
Alldigi Tech,3.9,2.5k,"Work Life Balance, Job Security",7.5k,229,20,112,33
DBS Bank,3.7,2.5k,Salary & Benefits,12.8k,190,321,192,11
V-Mart,4.1,2.5k,"Skill Development / Learning, Job Security, Company Culture",4.6k,188,13,210,15
Tractors and Farm Equipment,3.9,2.5k,"Work Life Balance, Skill Development / Learning",8.3k,129,19,274,9
Himalaya Wellness,4.0,2.5k,"Work Life Balance, Company Culture",6.1k,143,23,255,7
BT Group,3.8,2.5k,"Work Life Balance, Company Culture",11.3k,223,22,264,22
Tata Advanced Systems,3.7,2.5k,Job Security,12.5k,178,--,132,6
Parle Agro,4.0,2.4k,"Work Life Balance, Job Security",6.5k,141,3,212,--
JCB,3.9,2.4k,"Work Life Balance, Salary & Benefits",9.5k,159,--,233,7
Patanjali Ayurved,3.9,2.4k,Work Life Balance,5.7k,133,--,248,3
IntouchCX,2.7,2.4k,"Promotions / Appraisal, Job Security, Company Culture",9.8k,227,221,145,17
Statestreet HCL Services,3.4,2.4k,"Promotions / Appraisal, Salary & Benefits, Company Culture",13.8k,219,--,201,--
Paras Hospital,4.1,2.4k,"Skill Development / Learning, Work Life Balance, Salary & Benefits",3.1k,98,43,126,43
Foxconn,3.9,2.4k,Job Security,10k,219,14,170,3
McDonald's,3.9,2.4k,"Skill Development / Learning, Company Culture, Job Security",5k,147,--,410,2
Laurus Labs,4.3,2.4k,"Job Security, Salary & Benefits, Company Culture",7.2k,149,10,207,11
Physicswallah,3.6,2.4k,"Promotions / Appraisal, Job Security, Work Satisfaction",7.8k,259,80,20,9
ICICI Securities,3.9,2.4k,"Job Security, Work Life Balance, Company Culture",9.7k,187,3,184,4
Mahindra Holidays & Resorts,3.5,2.4k,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",5.9k,122,64,202,16
Photon Interactive,4.1,2.4k,"Skill Development / Learning, Salary & Benefits, Company Culture",7.3k,129,868,123,--
Emcure Pharmaceuticals,3.7,2.4k,"Promotions / Appraisal, Job Security, Company Culture",8.3k,121,34,233,13
Biocon Limited,4.0,2.4k,"Work Life Balance, Job Security, Company Culture",11.7k,180,20,2,1
Canara HSBC Life Insurance,3.6,2.4k,"Company Culture, Work Satisfaction, Job Security",6.4k,129,4,168,6
Mahindra Rural Housing Finance,4.0,2.4k,"Work Life Balance, Company Culture",4.6k,102,2,180,3
Planet Spark,3.9,2.4k,"Skill Development / Learning, Company Culture, Work Life Balance",3.4k,576,65,191,1
Datamatics Global Services,3.3,2.4k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",11.7k,180,58,183,5
Intellect Design Arena,3.6,2.4k,Job Security,13.4k,180,31,118,8
Aditya Birla Capital,3.8,2.4k,Work Life Balance,9.7k,197,--,164,30
Axis Direct,3.6,2.4k,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",4.7k,86,40,226,--
Taj Hotels Resorts and Palaces,4.2,2.4k,"Job Security, Company Culture, Skill Development / Learning",4.8k,151,181,178,5
Hero FinCorp,3.9,2.4k,"Work Life Balance, Company Culture",5.6k,113,30,129,2
3i Infotech,3.4,2.3k,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",10.6k,161,21,149,1
Capgemini Engineering,3.4,2.3k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",14.6k,394,1,139,4
Cadila Pharmaceuticals,3.3,2.3k,"Job Security, Promotions / Appraisal, Company Culture",7.8k,153,217,167,13
Info Edge,4.0,2.3k,"Job Security, Company Culture, Work Life Balance",10.9k,373,306,299,28
Cholamandalam MS General Insurance,3.7,2.3k,"Promotions / Appraisal, Work Satisfaction",5.9k,114,--,166,4
KocharTech,3.7,2.3k,"Promotions / Appraisal, Salary & Benefits",3.7k,79,55,582,6
Syngene International,3.9,2.3k,"Work Life Balance, Job Security, Company Culture",12.5k,186,3,217,16
Aditya Birla Group,4.1,2.3k,"Job Security, Work Life Balance, Skill Development / Learning",9.9k,233,3,248,15
Adani Group,3.8,2.3k,Salary & Benefits,10.7k,273,1.9k,101,8
Delhi Public School,3.8,2.3k,Skill Development / Learning,5.3k,151,171,258,7
Cybage,3.8,2.3k,"Work Life Balance, Company Culture, Job Security",17.3k,212,44,268,4
Bureau Veritas,3.8,2.3k,Work Life Balance,8.1k,140,18,176,12
Xoriant,4.1,2.3k,"Work Life Balance, Company Culture, Work Satisfaction",11.6k,231,23,413,48
Lifestyle,4.3,2.3k,"Job Security, Company Culture, Work Life Balance",6.6k,80,17,278,10
Akums Drugs & Pharmaceuticals Limited,4.2,2.3k,"Job Security, Skill Development / Learning, Company Culture",6.2k,325,18,147,22
Aavas Financiers,3.9,2.3k,Skill Development / Learning,5.7k,113,58,138,7
Eureka Forbes,3.6,2.3k,"Promotions / Appraisal, Job Security, Company Culture",5.4k,89,1,227,4
GVK Emergency Management and Research Institute,3.6,2.3k,"Promotions / Appraisal, Job Security, Salary & Benefits",4.5k,113,28,176,6
Straive,3.3,2.3k,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",10k,219,86,122,15
RMSI,3.6,2.3k,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",8.4k,187,10,184,4
Sopra Steria,3.9,2.3k,"Work Life Balance, Company Culture, Job Security",13.8k,181,116,240,6
Kia India,3.9,2.3k,"Job Security, Skill Development / Learning",8k,171,90,165,14
Sobha,3.8,2.3k,Job Security,8.3k,160,57,220,9
CorroHealth infotech,3.7,2.2k,Salary & Benefits,7.1k,247,99,9,18
Unacademy,2.9,2.2k,"Job Security, Promotions / Appraisal, Company Culture",10.4k,230,31,153,41
Radisson Hotels,4.0,2.2k,"Job Security, Skill Development / Learning, Company Culture",5.2k,97,296,312,12
Apollo Pharmacy,3.7,2.2k,Job Security,7k,172,1k,128,6
Myntra,3.9,2.2k,"Company Culture, Work Life Balance, Skill Development / Learning",10.2k,262,61,305,37
TaskUs,3.1,2.2k,"Promotions / Appraisal, Job Security, Skill Development / Learning",9.1k,215,140,116,10
Lava International,3.9,2.2k,"Company Culture, Work Life Balance, Skill Development / Learning",4.3k,80,1,302,3
Panasonic Life Solutions India,3.9,2.2k,"Work Life Balance, Company Culture, Job Security",6.4k,94,10,105,6
TCE,3.8,2.2k,"Job Security, Work Life Balance",9.2k,289,35,165,9
Team Computers,3.7,2.2k,"Promotions / Appraisal, Salary & Benefits",8.4k,196,151,115,1
Endurance Technologies,3.9,2.2k,"Skill Development / Learning, Job Security",7.7k,130,12,230,1
Lodha,4.1,2.2k,"Company Culture, Work Life Balance, Job Security",8.6k,165,205,173,8
SBI Securities,3.6,2.2k,"Promotions / Appraisal, Company Culture, Work Satisfaction",6.7k,177,28,104,21
Whirlpool,4.0,2.2k,"Work Life Balance, Company Culture, Work Satisfaction",7.9k,116,19,201,9
Star Union Dai-ichi Life Insurance,3.8,2.2k,,5.2k,128,27,95,7
GlaxoSmithKline Pharmaceuticals,4.0,2.2k,"Company Culture, Work Life Balance, Salary & Benefits",5.6k,124,34,112,1
Indian Railways,4.2,2.2k,"Job Security, Work Life Balance, Skill Development / Learning",3.4k,113,--,158,17
Adani Wilmar,4.0,2.2k,"Job Security, Work Life Balance, Skill Development / Learning",6.7k,130,95,171,8
Nokia Networks,4.1,2.2k,"Work Life Balance, Company Culture, Work Satisfaction",10.5k,126,--,10,--
Cisco,4.1,2.2k,"Work Life Balance, Company Culture, Skill Development / Learning",18.7k,401,115,223,16
Renault Nissan Technology & Business Centre India,3.8,2.2k,"Work Life Balance, Job Security",14.5k,151,42,210,--
Bharti AXA Life Insurance,3.6,2.2k,"Job Security, Work Satisfaction, Promotions / Appraisal",5.1k,143,119,170,10
SBI General Insurance,3.5,2.1k,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",6.5k,125,48,132,6
Shahi Exports,3.9,2.1k,"Job Security, Company Culture, Work Life Balance",6.7k,123,43,228,25
Huawei Technologies,4.0,2.1k,"Salary & Benefits, Skill Development / Learning",8.1k,117,--,288,1
Meesho,3.7,2.1k,Salary & Benefits,9.2k,416,98,296,13
Coromandel International,4.1,2.1k,"Job Security, Company Culture, Work Life Balance",7.5k,122,22,217,3
Ambuja Cements,3.8,2.1k,"Promotions / Appraisal, Job Security",5.9k,156,--,211,6
Daikin Airconditioning India Pvt. Ltd.,4.1,2.1k,"Job Security, Work Life Balance, Company Culture",7.5k,200,--,144,2
ValueLabs,3.5,2.1k,"Promotions / Appraisal, Work Satisfaction, Job Security",15.8k,210,85,266,11
Sify Technologies,3.7,2.1k,"Promotions / Appraisal, Salary & Benefits, Company Culture",9.8k,144,54,152,4
Allstate,3.7,2.1k,Work Life Balance,12.1k,154,8,186,6
Bank of Baroda,3.5,2.1k,Job Security,6.8k,111,--,150,15
Simplex Infrastructures,3.4,2.1k,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",4.6k,79,--,286,--
BNP Paribas,3.7,2.1k,"Job Security, Work Life Balance",17.5k,205,585,174,8
Microsoft Corporation,3.7,2.1k,"Work Life Balance, Company Culture",28.3k,604,--,196,7
Ola Cabs,3.3,2.1k,"Job Security, Promotions / Appraisal, Company Culture",9.1k,153,12,227,10
Life Insurance Corporation of India,4.4,2.1k,"Work Life Balance, Company Culture, Skill Development / Learning",4.6k,94,3,242,19
BHEL,4.2,2.1k,"Job Security, Work Life Balance, Skill Development / Learning",5k,131,--,231,9
Cargill,3.9,2.1k,"Work Life Balance, Company Culture, Salary & Benefits",8.2k,109,407,148,7
Spark Minda,3.8,2.1k,Promotions / Appraisal,7k,153,2,36,18
Pfizer,3.9,2.1k,"Work Life Balance, Company Culture",5.7k,84,45,276,6
Force Motors,3.7,2.1k,"Promotions / Appraisal, Company Culture, Work Satisfaction",8.1k,143,1,152,5
CAMS,3.6,2.1k,Job Security,8.5k,139,24,50,6
Generali Central Life Insurance,3.5,2.1k,"Promotions / Appraisal, Work Satisfaction, Job Security",6.7k,117,6,163,1
Power Mech Projects,3.8,2.1k,Job Security,6.6k,119,5,158,4
upGrad,3.4,2.1k,"Job Security, Promotions / Appraisal, Work Satisfaction",9.1k,213,72,125,18
Newgen Software Technologies,3.9,2.1k,"Job Security, Company Culture, Work Life Balance",11.5k,199,28,147,8
FirstCry,3.6,2.1k,"Promotions / Appraisal, Company Culture, Work Satisfaction",8.5k,205,9,70,6
Raymond Lifestyle Limited,4.2,2.1k,"Work Life Balance, Company Culture, Job Security",6.5k,112,3,230,9
Bharat Petroleum,4.2,2k,"Skill Development / Learning, Company Culture, Work Life Balance",6.6k,172,--,187,16
Poonawalla Fincorp,3.6,2k,"Promotions / Appraisal, Company Culture, Work Satisfaction",5.7k,78,18,129,--
Mercedes-Benz Research and Development India,3.7,2k,"Work Life Balance, Job Security",17.5k,205,116,195,7
Reliance Trends,4.1,2k,"Job Security, Skill Development / Learning, Company Culture",4.1k,122,--,220,25
Renault-Nissan,4.1,2k,"Job Security, Company Culture, Work Life Balance",7.6k,122,--,268,9
Nuvoco Vistas,4.1,2k,"Job Security, Skill Development / Learning, Salary & Benefits",6.9k,121,25,126,5
Extramarks Education,3.4,2k,"Job Security, Promotions / Appraisal, Work Satisfaction",7.4k,171,20,142,2
Saint-Gobain,3.9,2k,"Job Security, Company Culture, Work Life Balance",11.3k,200,103,243,9
GAO Tek,4.4,2k,"Work Life Balance, Skill Development / Learning, Company Culture",254,471,--,26,1
Brakes India,3.9,2k,"Job Security, Skill Development / Learning, Company Culture",7k,92,4,198,2
ITC Hotels,4.1,2k,"Job Security, Skill Development / Learning, Company Culture",5.2k,99,--,199,9
Kotak Securities,3.4,2k,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",9.4k,138,19,153,3
Ninjacart,3.8,2k,Salary & Benefits,5.3k,101,17,137,23
Henry Harvin Education,3.5,2k,"Promotions / Appraisal, Salary & Benefits",877,53,74,63,2
Jio Platforms,3.3,2k,Job Security,13.5k,243,--,62,--
Delphi TVS,3.9,2k,Skill Development / Learning,5.5k,98,--,192,--
State Street Syntel,3.7,2k,Job Security,7.4k,79,--,281,--
Reliance General Insurance,3.6,2k,"Promotions / Appraisal, Work Satisfaction, Job Security",7k,96,11,131,2
JK Tyre,3.6,2k,"Promotions / Appraisal, Company Culture, Salary & Benefits",6.7k,125,--,189,4
CitiusTech,3.2,2k,"Promotions / Appraisal, Job Security, Work Satisfaction",14.1k,309,49,163,14
Biological E,4.2,2k,"Job Security, Company Culture, Work Life Balance",7k,136,39,221,--
SGS,3.8,2k,Work Life Balance,6.2k,122,112,178,1
Infinite Computer Solutions,3.3,2k,"Promotions / Appraisal, Job Security, Company Culture",14.6k,169,260,105,19
Senco Gold,4.4,2k,"Job Security, Skill Development / Learning, Company Culture",1.5k,617,6,35,6
Morgan Stanley,3.6,2k,"Promotions / Appraisal, Job Security, Work Satisfaction",25.5k,326,9,151,8
Novartis,4.1,2k,"Work Life Balance, Company Culture, Salary & Benefits",9.8k,165,294,226,22
YASH Technologies,3.7,2k,Work Life Balance,16.1k,168,484,172,34
HSBC Electronic Data Processing,4.1,2k,"Work Life Balance, Job Security, Company Culture",8.7k,84,--,20,--
SAP,4.1,1.9k,"Work Life Balance, Company Culture, Job Security",17k,312,172,284,22
EPAM Systems,3.7,1.9k,"Skill Development / Learning, Salary & Benefits, Work Life Balance",21k,604,51,132,7
